,Exp_IDs,ID_IDs,Light,Stage,Age,Spec,Rep,sws1,sws2b,sws2a,P_sws1,P_sws2b,P_sws2a,SC_sws1,SC_sws2b,SC_sws2a,PSI_SC
66,PRN134,RR-E5-NIC02,RR,E,5,NIC,2,24.47949804,23.86123494,22.82526644,0.042565965,0.065339863,0.133978717,0.175976374,0.270128309,0.553895317,440.3231684
67,PRN135,RR-E10-NIC02,RR,E,10,NIC,2,27.9480589,26.22938704,21.50924188,0.003756883,0.012365152,0.325915302,0.010983839,0.03615147,0.952864691,463.8957748
68,PRN136,RR-E15-NIC02,RR,E,15,NIC,2,24.17536433,23.30612346,24.72959624,0.045692018,0.083465676,0.031117157,0.285085387,0.520765894,0.194148718,422.2410357
69,PRN137,RR-E20-NIC02,RR,E,20,NIC,2,27.08570618,25.58650158,21.41159589,0.005721669,0.016174404,0.292146128,0.018219428,0.051503919,0.930276653,462.7296388
70,PRN138,RR-E21-NIC02,RR,E,21,NIC,2,28.4951087,27.54969001,21.97163002,0.002402838,0.004627259,0.221048292,0.010535139,0.02028802,0.969176841,464.3557868
71,PRN139,RR-E22-NIC02,RR,E,22,NIC,2,27.95795294,27.34119257,21.18742993,0.001918031,0.002941162,0.209404532,0.008951729,0.013726831,0.97732144,464.6942192
75,PRN142,RR-E26-NIC02,RR,E,26,NIC,2,28.67175436,26.72627119,21.32383586,0.000954572,0.003676695,0.15550798,0.005960889,0.022959362,0.971079749,464.7712024
76,PRN143,RR-E30-NIC02,RR,E,30,NIC,2,27.78196744,28.55071489,21.0595193,0.002938215,0.001724517,0.310271607,0.00932961,0.005475798,0.985194592,464.8686906
77,PRN144,RR-E31-NIC02,RR,E,31,NIC,2,28.59427227,26.71373441,19.8720924,0.000493842,0.001818387,0.208557514,0.002341929,0.008623272,0.989034798,465.5275504
78,PRN145,RR-E32-NIC02,RR,E,32,NIC,2,32.33523606,30.67650979,24.37872741,0.000809717,0.002556582,0.201131957,0.003959531,0.012501729,0.983538741,465.2552448
79,PRN146,RR-E33-NIC02,RR,E,33,NIC,2,35.31705593,32.31701734,26.64018024,0.000460464,0.003683811,0.188449757,0.002390853,0.019127337,0.97848181,465.2492588
80,PRN147,RR-E34-NIC02,RR,E,34,NIC,2,38.49931608,32.65487557,28.37652654,0.000118736,0.006822332,0.132386672,0.000852204,0.048966074,0.950181723,464.6365485
130,PRN193,RR-E10-NIC03,RR,E,10,NIC,3,28.99800014,25.84035314,22.44525534,0.002202161,0.019651494,0.20673873,0.009633572,0.085967403,0.904399025,462.7436889
131,PRN194,RR-E20-NIC03,RR,E,20,NIC,3,28.87522919,28.99123188,22.11920806,0.005721575,0.005279531,0.618415888,0.009090278,0.00838797,0.982521752,464.8183433
132,PRN195,RR-E21-NIC03,RR,E,21,NIC,3,28.56334044,26.15993524,20.89949335,0.000962955,0.005094517,0.195278218,0.004782833,0.025303595,0.969913572,464.8351263
133,PRN196,RR-E22-NIC03,RR,E,22,NIC,3,28.3054695,25.34053371,20.65197863,0.000788704,0.006158129,0.158797818,0.004758551,0.037154318,0.958087132,464.5295814
134,PRN197,RR-E23-NIC03,RR,E,23,NIC,3,28.09934309,24.83902346,21.19383895,0.001494824,0.014323334,0.1792066,0.007664792,0.073443671,0.918891537,463.2779966
135,PRN198,RR-E24-NIC03,RR,E,24,NIC,3,27.22807197,26.79433284,19.87666934,0.003849462,0.005199582,0.628626503,0.006036709,0.008153962,0.985809329,465.1481059
136,PRN199,RR-E26-NIC03,RR,E,26,NIC,3,28.27269401,25.47147901,20.80233735,0.001059455,0.007384686,0.187881382,0.005396418,0.0376145,0.956989083,464.4500027
138,PRN200,RR-E27-NIC03,RR,E,27,NIC,3,29.56273829,27.08846759,21.77277228,0.000880755,0.004894234,0.194925426,0.004388406,0.024385771,0.971225823,464.9007989
139,PRN201,RR-E28-NIC03,RR,E,28,NIC,3,27.30860241,24.02606598,20.3932751,0.001434966,0.013963154,0.173205845,0.007608355,0.074034254,0.918357391,463.2686238
140,PRN202,RR-E29-NIC03,RR,E,29,NIC,3,28.15274616,25.46183116,20.21102633,0.002206713,0.01424925,0.542552485,0.003947549,0.025490223,0.970562228,464.918814
141,PRN203,RR-E30-NIC03,RR,E,30,NIC,3,27.87890622,25.05319459,19.17581066,0.001371812,0.009725651,0.571725481,0.002353738,0.016687145,0.980959117,465.316638
142,PRN204,RR-E31-NIC03,RR,E,31,NIC,3,27.85211846,24.96094577,18.68342302,0.000957098,0.007100454,0.5508188,0.00171254,0.012704874,0.985582586,465.488144
143,PRN205,RR-E32-NIC03,RR,E,32,NIC,3,28.64693153,26.25221382,21.05929038,0.001289854,0.006783008,0.248112144,0.005034852,0.026476989,0.968488159,464.7779039
144,PRN206,RR-E33-NIC03,RR,E,33,NIC,3,27.20562784,25.67611641,20.26556911,0.001634795,0.004719458,0.200737789,0.00789405,0.02278918,0.96931677,464.570712
191,PRN25,RR-L35-NIC02,RR,L,35,NIC,2,33.54893603,33.18606633,19.81182501,2.71E-05,3.49E-05,0.370138075,7.32E-05,9.42E-05,0.999832615,465.9897902
210,PRN269,RR-E21-NIC04,RR,E,21,NIC,4,29.48145958,27.77623108,21.87869647,NA,NA,NA,0.00503412,0.016415287,0.978550594,465.0395859
211,PRN270,RR-E22-NIC04,RR,E,22,NIC,4,28.4676791,24.98959039,22.9519691,NA,NA,NA,0.017273096,0.192477172,0.790249732,459.1646453
212,PRN271,RR-E23-NIC04,RR,E,23,NIC,4,29.55037829,25.59248152,20.08878216,NA,NA,NA,0.001385815,0.021535305,0.977078879,465.2931856
213,PRN272,RR-E24-NIC04,RR,E,24,NIC,4,27.84144142,25.70712359,20.61195076,NA,NA,NA,0.006432516,0.02824064,0.965326845,464.5838967
214,PRN273,RR-E25-NIC04,RR,E,25,NIC,4,28.79541077,27.12396934,20.88885382,NA,NA,NA,0.004096181,0.013047676,0.982856143,465.2265652
215,PRN274,RR-E26-NIC04,RR,E,26,NIC,4,28.80377943,25.43179803,20.85594676,NA,NA,NA,0.003872044,0.040087395,0.956040561,464.5472911
216,PRN275,RR-E27-NIC04,RR,E,27,NIC,4,28.62327567,25.60941265,21.47849394,NA,NA,NA,0.006640576,0.053637546,0.939721879,463.9015228
217,PRN276,RR-E28-NIC04,RR,E,28,NIC,4,28.59506848,26.10730911,20.31589334,NA,NA,NA,0.003151936,0.017679405,0.979168659,465.2062302
218,PRN277,RR-E29-NIC05,RR,E,29,NIC,5,29.03766519,27.56752955,21.35388943,NA,NA,NA,0.004775965,0.013231712,0.981992323,465.1497232
219,PRN278,RR-E30-NIC04,RR,E,30,NIC,4,28.70197251,26.52013146,20.90521554,NA,NA,NA,0.004387931,0.019909454,0.975702615,465.0172335
250,PRN308,RR-L35-NIC04,RR,L,35,NIC,4,30.09049622,28.74281644,20.75277894,NA,NA,NA,0.001537072,0.003911885,0.994551043,465.7353614
251,PRN309,RR-L40-NIC04,RR,L,40,NIC,4,28.17429905,31.54160628,21.16426267,NA,NA,NA,0.007692872,0.000745466,0.991561662,465.1651734
252,PRN310,RR-L44-NIC04,RR,L,44,NIC,4,25.96656802,25.84204741,21.53673836,NA,NA,NA,0.042295213,0.046107933,0.911596854,460.3179012
253,PRN311,RR-L45-NIC04,RR,L,45,NIC,4,26.17480021,32.28320929,21.17227153,NA,NA,NA,0.03023831,0.000438271,0.969323418,462.7833441
280,PRN34,RR-L36-NIC02,RR,L,36,NIC,2,33.68866266,32.49276316,19.76879178,1.00E-05,2.30E-05,0.155652906,6.45E-05,0.000147778,0.999787714,465.98932
298,PRN36,RR-L38-NIC02,RR,L,38,NIC,2,26.21659137,23.86950554,22.89653868,0.010436362,0.053099735,0.104228038,0.062208538,0.316514225,0.621277237,451.1765251
309,PRN37,RR-L39-NIC02,RR,L,39,NIC,2,33.72875426,25.44735542,23.37807053,8.38E-05,0.02606204,0.109376804,0.000618084,0.192307692,0.807074224,460.9344832
320,PRN38,RR-L40-NIC02,RR,L,40,NIC,2,28.09585329,28.1534999,20.59229013,0.004015217,0.003857942,0.728629243,0.005451736,0.005238193,0.989310071,465.2859229
353,PRN42,RR-E5-NIC01,RR,E,5,NIC,1,27.87507345,26.10404222,32.10148863,0.023763022,0.081102679,0.001269474,0.223893938,0.764145142,0.01196092,422.3994689
354,PRN43,RR-E10-NIC01,RR,E,10,NIC,1,26.26112921,24.77277025,28.13462447,0.046566322,0.130650965,0.012708482,0.245181693,0.687905419,0.066912887,422.1251996
355,PRN44,RR-E15-NIC01,RR,E,15,NIC,1,27.49968822,25.94021265,22.44197828,0.008873252,0.026153616,0.295532482,0.026843143,0.079119275,0.894037582,461.0975256
356,PRN45,RR-E20-NIC01,RR,E,20,NIC,1,26.27360947,29.23443227,20.91157072,0.016323621,0.002096621,0.671353092,0.023665195,0.00303958,0.973295225,463.4124602
357,PRN46,RR-E21-NIC01,RR,E,21,NIC,1,30.95555887,28.89640799,23.13431584,0.001056499,0.004402864,0.238944967,0.004322751,0.018014674,0.977662574,465.0734068
358,PRN47,RR-E22-NIC01,RR,E,22,NIC,1,26.4728197,28.71855136,20.87843619,0.012593517,0.002655305,0.608449132,0.020191692,0.004257357,0.97555095,463.7489894
359,PRN48,RR-E23-NIC01,RR,E,23,NIC,1,27.18293315,26.94625505,20.40813393,0.004339642,0.005113298,0.475194775,0.008954219,0.010550546,0.980495236,464.7765386
360,PRN49,RR-E24-NIC01,RR,E,24,NIC,1,28.5865852,27.76917605,21.80633594,0.002767556,0.004877094,0.304196923,0.008874878,0.015639652,0.97548547,464.652632
369,PRN57,RR-L35-NIC01,RR,L,35,NIC,1,29.25308206,27.41717852,22.48188203,0.002438367,0.008704848,0.266338205,0.008787498,0.031370922,0.95984158,464.2528812
372,PRN60,RR-L38-NIC01,RR,L,38,NIC,1,28.83818052,33.74685022,22.49668813,0.010586949,0.000352463,0.858519654,0.012176478,0.000405382,0.98741814,464.6987534
373,PRN61,RR-L39-NIC01,RR,L,39,NIC,1,28.19917746,27.70000747,20.91966831,0.00559485,0.007907761,0.869238654,0.00633804,0.008958187,0.984703773,465.0952549
374,PRN62,RR-L40-NIC01,RR,L,40,NIC,1,27.78713256,28.30221609,21.15481286,0.00519533,0.003635445,0.515395151,0.009910479,0.006934882,0.983154639,464.7691823
375,PRN63,RR-L41-NIC01,RR,L,41,NIC,1,27.28020978,28.12418745,20.1253298,0.004105426,0.002287155,0.585048222,0.006941397,0.00386709,0.989191513,465.1636676
376,PRN64,RR-L44-NIC01,RR,L,44,NIC,1,26.3397583,31.09402729,21.18990001,0.024982632,0.000925679,0.886951785,0.027367427,0.001014043,0.97161853,463.0726876
377,PRN65,RR-L45-NIC01,RR,L,45,NIC,1,33.7319659,27.79910579,20.62818834,4.44E-05,0.002710153,0.390530573,0.000112802,0.006891064,0.992996133,465.8088753
413,PRX104,RR-E5-XIL01,RR,E,5,XIL,1,24.65300233,25.98932089,26.41729352,0.064356611,0.025487145,0.018944738,0.59157553,0.234281627,0.174142844,397.2016716
414,PRX105,RR-E10-XIL01,RR,E,10,XIL,1,26.2590606,23.02648939,26.42074825,0.022265862,0.209286112,0.019905206,0.08854733,0.832293243,0.079159426,434.9743587
415,PRX106,RR-E15-XIL01,RR,E,15,XIL,1,24.8924113,21.48418967,24.875177,0.01690803,0.179502272,0.017111223,0.079186536,0.8406753,0.080138164,435.7486694
416,PRX107,RR-E20-XIL01,RR,E,20,XIL,1,25.77488303,23.42789876,21.24333222,0.007242167,0.036845226,0.16749478,0.034228627,0.174141447,0.791629926,457.8440879
417,PRX108,RR-E21-XIL01,RR,E,21,XIL,1,25.55811605,22.0874243,22.4681022,0.010282751,0.113996531,0.087558067,0.048540783,0.538132352,0.413326865,446.8632358
418,PRX109,RR-E22-XIL01,RR,E,22,XIL,1,32.69651433,22.50803091,21.23136395,4.68E-05,0.054558094,0.132182584,0.000250307,0.292086535,0.707663158,458.3792176
420,PRX110,RR-E23-XIL01,RR,E,23,XIL,1,24.69353612,22.18009312,22.34386643,0.016593062,0.094743247,0.084576087,0.084696335,0.483600065,0.4317036,444.4485868
422,PRX112,RR-E25-XIL01,RR,E,25,XIL,1,25.61449335,21.70560377,22.21189282,0.007789117,0.116998751,0.082370753,0.037599771,0.564778577,0.397621652,447.3301813
423,PRX113,RR-E26-XIL01,RR,E,26,XIL,1,27.0852733,23.89086212,21.20019714,0.005248713,0.048047011,0.310196753,0.014439673,0.132181584,0.853378743,461.0326734
424,PRX114,RR-E27-XIL01,RR,E,27,XIL,1,26.19731479,22.18320877,22.28895671,0.005838615,0.094335719,0.087668356,0.031082472,0.502205962,0.466711566,449.647903
425,PRX115,RR-E28-XIL01,RR,E,28,XIL,1,26.68777303,22.79764822,23.74472769,0.009687955,0.143640328,0.074503566,0.042522393,0.63046641,0.327011197,445.1004997
426,PRX116,RR-E30-XIL01,RR,E,30,XIL,1,26.16075241,22.3188484,21.1335807,0.004149707,0.05950395,0.135315307,0.020856053,0.299061466,0.680082481,456.0136603
469,PRX160,RR-L37-XIL02,RR,L,37,XIL,2,25.41812766,22.33467618,22.82126917,0.01415189,0.119957061,0.085614383,0.064407769,0.545945935,0.389646296,444.9781822
470,PRX162,RR-L39-XIL02,RR,L,39,XIL,2,26.85024314,24.23382318,21.14480878,0.005074574,0.031118633,0.264793006,0.016859824,0.1033889,0.879751277,461.5247473
471,PRX163,RR-L40-XIL02,RR,L,40,XIL,2,25.86681917,23.45312146,20.982262,0.008669326,0.046193486,0.256084649,0.027880355,0.148557205,0.82356244,459.182195
472,PRX164,RR-L41-XIL02,RR,L,41,XIL,2,27.15000308,22.0189942,20.04110469,0.001229603,0.043087623,0.169729217,0.005744562,0.201300346,0.792955092,460.1572674
473,PRX165,RR-L42-XIL02,RR,L,42,XIL,2,26.28627444,22.02532577,21.59171013,0.004581438,0.087836523,0.118633256,0.021707705,0.416185817,0.562106478,452.878152
474,PRX166,RR-L43-XIL02,RR,L,43,XIL,2,27.20232158,23.31380308,21.11301679,0.003017611,0.044691396,0.20545968,0.011919368,0.176528135,0.811552498,460.1468155
475,PRX167,RR-L44-XIL02,RR,L,44,XIL,2,27.12787801,23.43271065,20.62375206,0.002664461,0.034511635,0.241850129,0.009549141,0.12368599,0.86676487,461.7719554
476,PRX168,RR-E5-XIL03,RR,E,5,XIL,3,25.10563385,23.37643867,27.87770431,0.060249913,0.199754256,0.008820233,0.224123675,0.743065936,0.032810389,422.9231761
477,PRX169,RR-E15-XIL03,RR,E,15,XIL,3,25.40323708,22.21432267,23.93797281,0.021980297,0.200443719,0.060690688,0.077637427,0.707994731,0.214367841,439.3625697
478,PRX17,RR-L36-XIL01,RR,L,36,XIL,1,29.20847581,28.04793116,27.62529842,0.030982654,0.069259185,0.092833026,0.160469641,0.358716732,0.480813627,439.663583
479,PRX170,RR-E21-XIL03,RR,E,21,XIL,3,25.09121955,21.84944878,22.47079588,0.013194757,0.124816391,0.081138599,0.06020886,0.569548416,0.370242724,444.809602
480,PRX171,RR-E22-XIL03,RR,E,22,XIL,3,24.87893944,21.75518967,23.72986365,0.018919653,0.164913251,0.041958452,0.083792638,0.730378939,0.185828424,438.128128
481,PRX172,RR-E23-XIL03,RR,E,23,XIL,3,27.31407273,22.67783255,23.05159594,0.005042407,0.125396464,0.096776809,0.022192163,0.551882967,0.42592487,449.2986736
482,PRX173,RR-E25-XIL03,RR,E,25,XIL,3,27.71151744,24.21525299,23.34938613,0.007789797,0.087903586,0.160198516,0.030441748,0.343518441,0.626039811,453.8416953
483,PRX174,RR-E26-XIL03,RR,E,26,XIL,3,25.89830221,22.4137493,23.90715259,0.013256571,0.148383687,0.052701985,0.061847683,0.692274584,0.245877733,441.4450064
484,PRX175,RR-E27-XIL03,RR,E,27,XIL,3,24.88974016,21.41660095,22.31414273,0.012557524,0.139451469,0.074857634,0.05535201,0.614684809,0.329963181,444.1508819
485,PRX176,RR-E28-XIL03,RR,E,28,XIL,3,25.21088553,21.102349,24.31999005,NA,NA,NA,0.04974018,0.858025275,0.092234545,438.4188838
486,PRX177,RR-E30-XIL03,RR,E,30,XIL,3,27.28535801,22.47712218,24.55464131,NA,NA,NA,0.028046593,0.785784246,0.186169161,442.5966708
