"","combi","brgroups","Light","Stage","Age","Spec","day","PSI_SC.m","PSI_SC.n","PSI_SC.se"
"9","RR-E20-NIC","RR-E-NIC","RR","E",20,"NIC",0,463.65348077035,3,0.614882059839578
"12","RR-E20-XIL","RR-E-XIL","RR","E",20,"XIL",0,457.844087872866,1,NA
"13","RR-E21-NIC","RR-E-NIC","RR","E",21,"NIC",1,464.825976428687,4,0.165331195182586
"17","RR-E21-XIL","RR-E-XIL","RR","E",21,"XIL",1,445.836418904434,2,1.02681692568751
"19","RR-E22-NIC","RR-E-NIC","RR","E",22,"NIC",2,463.034358800584,4,1.30627352490354
"23","RR-E22-XIL","RR-E-XIL","RR","E",22,"XIL",2,448.253672788148,2,10.1255447926185
"25","RR-E23-NIC","RR-E-NIC","RR","E",23,"NIC",3,464.449240287573,3,0.604314994467487
"28","RR-E23-XIL","RR-E-XIL","RR","E",23,"XIL",3,446.873630223672,2,2.4250433800695
"30","RR-E24-NIC","RR-E-NIC","RR","E",24,"NIC",4,464.794878185271,3,0.177724950276872
"33","RR-E24-XIL","RR-E-XIL","RR","E",24,"XIL",4,454.572523447821,1,NA
"34","RR-E25-NIC","RR-E-NIC","RR","E",25,"NIC",5,465.226565228703,1,NA
"35","RR-E25-XIL","RR-E-XIL","RR","E",25,"XIL",5,450.585938261298,2,3.25575700583951
"37","RR-E26-NIC","RR-E-NIC","RR","E",26,"NIC",6,464.589498730871,3,0.0950936644231383
"40","RR-E26-XIL","RR-E-XIL","RR","E",26,"XIL",6,451.238839908965,2,9.79383352790799
"42","RR-E27-NIC","RR-E-NIC","RR","E",27,"NIC",7,464.401160872834,2,0.499638068806007
"44","RR-E27-XIL","RR-E-XIL","RR","E",27,"XIL",7,446.899392436992,2,2.74851055380751
"46","RR-E28-NIC","RR-E-NIC","RR","E",28,"NIC",8,464.237426985811,2,0.968803229471973
"48","RR-E28-XIL","RR-E-XIL","RR","E",28,"XIL",8,441.759691756551,2,3.340807941159
"50","RR-E29-NIC","RR-E-NIC","RR","E",29,"NIC",9,465.034268635343,2,0.115454594074492
"52","RR-E30-NIC","RR-E-NIC","RR","E",30,"NIC",10,465.067520716984,3,0.131733090776519
"55","RR-E30-XIL","RR-E-XIL","RR","E",30,"XIL",10,449.305165541595,2,6.708494766331
"57","RR-E31-NIC","RR-E-NIC","RR","E",31,"NIC",11,465.507847221395,2,0.0197031754684929
"59","RR-E31-XIL","RR-E-XIL","RR","E",31,"XIL",11,446.128435623217,1,NA
"60","RR-E32-NIC","RR-E-NIC","RR","E",32,"NIC",12,465.01657437416,2,0.238670432231487
"62","RR-E32-XIL","RR-E-XIL","RR","E",32,"XIL",12,454.993008889519,1,NA
"63","RR-E33-NIC","RR-E-NIC","RR","E",33,"NIC",13,464.909985410707,2,0.339273395991512
"65","RR-E33-XIL","RR-E-XIL","RR","E",33,"XIL",13,459.426357507996,1,NA
"66","RR-E34-NIC","RR-E-NIC","RR","E",34,"NIC",14,464.636548496529,1,NA
"67","RR-E34-XIL","RR-E-XIL","RR","E",34,"XIL",14,454.609667333224,1,NA
"68","RR-E35-XIL","RR-E-XIL","RR","E",35,"XIL",15,442.146799829837,1,NA
"73","RR-L35-NIC","RR-L-NIC","RR","L",35,"NIC",0,465.326010936887,3,0.541568405191662
"76","RR-L36-NIC","RR-L-NIC","RR","L",36,"NIC",1,465.989319985612,1,NA
"77","RR-L36-XIL","RR-L-XIL","RR","L",36,"XIL",1,439.663582987287,1,NA
"78","RR-L37-XIL","RR-L-XIL","RR","L",37,"XIL",2,444.97818221169,1,NA
"79","RR-L38-NIC","RR-L-NIC","RR","L",38,"NIC",3,457.93763928075,2,6.76111415552049
"81","RR-L39-NIC","RR-L-NIC","RR","L",39,"NIC",4,463.01486900838,2,2.08038585708451
"83","RR-L39-XIL","RR-L-XIL","RR","L",39,"XIL",4,455.302556639268,2,6.2221906680825
"85","RR-L40-NIC","RR-L-NIC","RR","L",40,"NIC",5,465.073426210795,3,0.156064516276273
"88","RR-L40-XIL","RR-L-XIL","RR","L",40,"XIL",5,459.182194989557,1,NA
"89","RR-L41-NIC","RR-L-NIC","RR","L",41,"NIC",6,465.163667556955,1,NA
"90","RR-L41-XIL","RR-L-XIL","RR","L",41,"XIL",6,459.07526732149,2,1.08200008070048
"92","RR-L42-XIL","RR-L-XIL","RR","L",42,"XIL",7,451.705573904175,2,1.17257810426102
"94","RR-L43-XIL","RR-L-XIL","RR","L",43,"XIL",8,460.146815506359,1,NA
"95","RR-L44-NIC","RR-L-NIC","RR","L",44,"NIC",9,461.695294395524,2,1.37739321085351
"97","RR-L44-XIL","RR-L-XIL","RR","L",44,"XIL",9,461.771955352357,1,NA
