"","Exp_IDs","ID_IDs","combi","Light","Stage","Age","Spec","Rep","sws1","sws2b","sws2a","EF1A","GAPDH","G_mean","relsws1","relsws2b","relsws2a","day"
"1","PRN10","WR-L36-NIC02","WR-L36-NIC","WR","L",36,"NIC",2,25.3522690931999,22.6541369864946,20.5917761161868,20.8130975061965,19.958896264093,20.3815223685727,0.03189,0.20695,0.86439,1
"2","PRN106","WR-E30-NIC01","WR-E30-NIC","WR","E",30,"NIC",1,27.1436030321447,26.055338432108,21.6903749446397,21.5552332266803,21.3198974305402,21.4372423945851,0.01915,0.04072,0.83907,10
"3","PRN107","RW-L39-NIC02","RW-L39-NIC","RW","L",39,"NIC",2,27.1734352709301,24.3080556381672,24.6662947702759,17.0915055431998,16.360400487307,16.721957888291,0.00071,0.0052,0.00406,4
"4","PRN11","WR-L37-NIC02","WR-L37-NIC","WR","L",37,"NIC",2,26.4647074826677,25.503838814042,19.8951662971139,19.8183577008427,19.0857696033896,19.4486145778008,0.00773,0.01504,0.73379,2
"5","PRN13","WR-L39-NIC02","WR-L39-NIC","WR","L",39,"NIC",2,28.1119989417411,26.1542175106528,19.0583753651762,18.2995929584654,18.1741278366466,18.2367525010828,0.00106,0.00414,0.56581,4
"6","PRN153","RW-E22-NIC02","RW-E22-NIC","RW","E",22,"NIC",2,25.3310000479282,23.1294102317747,23.8094434879887,22.4961706295211,22.111709826167,22.3031118268261,0.12261,0.56397,0.35201,2
"7","PRN179","WW-E24-NIC02","WW-E24-NIC","WW","E",24,"NIC",2,22.254331,23.04469461,27.511030405,23.3650561243475,22.4230646736168,22.8892150275829,1.55281,0.89783,0.04062,4
"8","PRN185","RW-L35-NIC03","RW-L35-NIC","RW","L",35,"NIC",3,21.92301065,22.593915865,23.18935537,19.5997098065254,19.5995225494534,19.5996161777657,0.1998,0.12549,0.08306,0
"9","PRN186","RW-L36-NIC03","RW-L36-NIC","RW","L",36,"NIC",3,24.82621983,24.963419855,22.34742932,22.8806716565334,22.5315454947588,22.705437550944,0.22992,0.20906,1.28166,1
"10","PRN198","RR-E24-NIC03","RR-E24-NIC","RR","E",24,"NIC",3,27.2280719747787,26.7943328439697,19.8766693352137,18.9457109787175,18.872025835109,18.9088325143269,0.00313,0.00423,0.51127,4
"11","PRN211","WW-L35-NIC03","WW-L35-NIC","WW","L",35,"NIC",3,22.5725844548466,23.5229085144543,26.333732357393,23.2230866989337,19.8075837301717,21.4474528618708,0.45846,0.23726,0.03381,0
"13","PRN221","WW-L45-NIC03","WW-L45-NIC","WW","L",45,"NIC",3,22.1143636259498,22.0961801653894,24.1521497123867,22.2641361512016,21.9330289066076,22.097962389889,0.9887,1.00124,0.24078,10
"14","PRN229","RW-E21-NIC03","RW-E21-NIC","RW","E",21,"NIC",3,27.698145335,25.388926645,22.51103098,20.6052531285468,19.821643692886,20.2096508063791,0.00557,0.0276,0.20287,1
"16","PRN254","WW-E24-NIC03","WW-E24-NIC","WW","E",24,"NIC",3,20.7452935569565,22.2609208945721,24.3141946485901,21.2456927183453,20.3620730247717,20.7991910081332,1.03807,0.36306,0.08747,4
"17","PRN264","RW-L45-NIC03","RW-L45-NIC","RW","L",45,"NIC",3,26.13069134,25.08718108,23.06482747,22.6801911357968,22.1579572784892,22.4175535296552,0.07625,0.15717,0.63849,10
"18","PRN270","RR-E22-NIC04","RR-E22-NIC","RR","E",22,"NIC",4,28.4676791036267,24.9895903919428,22.951969098883,23.3279532706539,21.5154385973692,22.4033735450055,0.01494,0.16652,0.68369,2
"19","PRN272","RR-E24-NIC04","RR-E24-NIC","RR","E",24,"NIC",4,27.8414414201543,25.707123585,20.6119507628781,20.6553267786305,20.0530778259064,20.3519747300208,0.00556,0.02443,0.8351,4
"20","PRN280","RW-E20-NIC04","RW-E20-NIC","RW","E",20,"NIC",4,28.9801582299066,27.7188671165787,21.93034438828,19.9575083413064,19.1305839073747,19.5396721545038,0.00144,0.00345,0.19069,0
"21","PRN281","RW-E21-NIC04","RW-E21-NIC","RW","E",21,"NIC",4,28.1600303,26.716802005,25.505990895,21.9633314314476,21.2967766377322,21.6274863013717,0.0108,0.02937,0.06799,1
"22","PRN282","RW-E23-NIC04","RW-E23-NIC","RW","E",23,"NIC",4,25.421319835,23.838020735,26.629342305,22.968549207737,22.110731641249,22.5355591836789,0.1353,0.40543,0.05857,3
"23","PRN283","RW-E24-NIC04","RW-E24-NIC","RW","E",24,"NIC",4,25.1464500552947,22.7526671442175,24.8465840816731,21.2551973082468,18.8053107691938,19.9927634618657,0.02809,0.14763,0.03458,4
"24","PRN289","RW-E30-NIC04","RW-E30-NIC","RW","E",30,"NIC",4,22.68643174,23.558599575,26.580677835,25.0028163622233,21.8896614798761,23.3945118823321,1.63363,0.89249,0.10987,10
"25","PRN292","WR-E20-NIC04","WR-E20-NIC","WR","E",20,"NIC",4,24.2450922337026,27.4571393342195,29.8808324625973,20.8722863511767,20.1731832949564,20.5197577555658,0.07561,0.00816,0.00152,0
"26","PRN293","WR-E21-NIC04","WR-E21-NIC","WR","E",21,"NIC",4,23.2108810300973,24.3141597838903,27.8600901656211,21.4576275023048,20.5605095716075,21.0042794602701,0.21664,0.10084,0.00863,1
"27","PRN294","WR-E22-NIC04","WR-E22-NIC","WR","E",22,"NIC",4,25.0717493540673,22.7153979440035,23.039595006053,22.318482024297,21.6144043155293,21.9636220642687,0.11597,0.59387,0.47435,2
"28","PRN295","WR-E23-NIC04","WR-E23-NIC","WR","E",23,"NIC",4,27.9667690863866,27.5338819849835,23.1632488751594,21.112348787473,20.206259798245,20.6543362166602,0.00629,0.00849,0.17569,3
"29","PRN296","WR-E24-NIC04","WR-E24-NIC","WR","E",24,"NIC",4,28.7275311328757,25.6371359781765,22.9979466843397,21.762927520027,20.8067611543774,21.2794744984275,0.00573,0.04878,0.30387,4
"30","PRN301","WW-E24-NIC04","WW-E24-NIC","WW","E",24,"NIC",4,22.8866741415923,23.5969039701428,28.1120939992096,22.6566674748135,23.6982059340433,23.171585435556,1.21834,0.74467,0.03257,4
"31","PRN311","RR-L45-NIC04","RR-L45-NIC","RR","L",45,"NIC",4,26.17480021,32.28320929,21.17227153,22.3546940891837,21.4657571588477,21.9057169405328,0.05187,0.00075,1.6626,10
"32","PRN312","RW-L35-NIC04","RW-L35-NIC","RW","L",35,"NIC",4,29.916418335,31.40489195,22.038843005,23.4909655585248,23.0311053540386,23.2598990248556,0.00991,0.00353,2.33117,0
"33","PRN313","RW-L36-NIC04","RW-L36-NIC","RW","L",36,"NIC",4,27.379252765,32.833545765,23.8620426,24.7407999067347,24.068567685854,24.4023690890335,0.12702,0.0029,1.4543,1
"34","PRN314","RW-L37-NIC04","RW-L37-NIC","RW","L",37,"NIC",4,26.31265492,28.37224228,22.14801165,22.568094131199,22.1200440694926,22.3429460176267,0.06383,0.01531,1.14467,2
"35","PRN315","RW-L38-NIC04","RW-L38-NIC","RW","L",38,"NIC",4,27.28019198,26.37525304,21.435142635,21.27542378322,20.3821276238818,20.8239862370719,0.01139,0.02133,0.65467,3
"37","PRN319","RW-L45-NIC04","RW-L45-NIC","RW","L",45,"NIC",4,27.427077235,26.83423172,24.850551505,24.0850277704979,23.3917005300848,23.7358327611707,0.07741,0.11676,0.46178,10
"38","PRN320","WR-L35-NIC04","WR-L35-NIC","WR","L",35,"NIC",4,24.39243174,25.37377746,28.285259155,26.2314386120393,26.0136157599605,26.1223001453658,3.31698,1.68007,0.2233,0
"39","PRN321","WR-L36-NIC04","WR-L36-NIC","WR","L",36,"NIC",4,27.993405045,31.52589867,24.91570646,26.0411708037077,25.4256741440563,25.731582213008,0.20851,0.01802,1.76037,1
"40","PRN322","WR-L37-NIC04","WR-L37-NIC","WR","L",37,"NIC",4,28.00027841,31.36522121,21.672555015,22.071454611454,22.0549319592173,22.0631917386531,0.01632,0.00158,1.31097,2
